MSE_per_Task
2.070840358734130859e+00
1.327498435974121094e+00
8.282430768013000488e-01
2.241045475006103516e+00
1.511584877967834473e+00
3.801894187927246094e+00
2.716200351715087891e+00
2.699066638946533203e+00
1.806237936019897461e+00
2.594036579132080078e+00
1.843308210372924805e+00
2.219866037368774414e+00
1.883646965026855469e+00
1.887240529060363770e+00
9.309275746345520020e-01
2.544076204299926758e+00
1.418627381324768066e+00
1.252453446388244629e+00
9.569984674453735352e-01
9.093816876411437988e-01
2.467117071151733398e+00
2.000622749328613281e+00
1.832898855209350586e+00
5.909445285797119141e-01
1.453693151473999023e+00
1.884090065956115723e+00
2.663582563400268555e+00
1.655396580696105957e+00
1.049311161041259766e+00
2.240341663360595703e+00
1.486754298210144043e+00
1.488568425178527832e+00
1.363834857940673828e+00
3.163373231887817383e+00
8.518843054771423340e-01
1.876804113388061523e+00
7.765794992446899414e-01
2.172246217727661133e+00
2.960362911224365234e+00
2.222143888473510742e+00
2.140918493270874023e+00
1.139767169952392578e+00
2.005587577819824219e+00
1.018895268440246582e+00
6.932499408721923828e+00
2.186049461364746094e+00
1.022220730781555176e+00
1.709113836288452148e+00
1.121854901313781738e+00
7.617593407630920410e-01
1.688406586647033691e+00
1.088474631309509277e+00
1.796306133270263672e+00
1.428720593452453613e+00
5.642020702362060547e-01
1.733346223831176758e+00
1.640294790267944336e+00
1.475107789039611816e+00
2.859222412109375000e+00
1.255692124366760254e+00
1.004186034202575684e+00
1.825156569480895996e+00
1.774241685867309570e+00
1.281178712844848633e+00
1.086000084877014160e+00
9.780249595642089844e-01
2.437670946121215820e+00
1.142540693283081055e+00
1.660842895507812500e+00
9.853755235671997070e-01
1.330736041069030762e+00
1.512269616127014160e+00
1.551324248313903809e+00
1.527819514274597168e+00
1.436792612075805664e+00
2.631166458129882812e+00
8.830378651618957520e-01
1.653840541839599609e+00
1.372771143913269043e+00
2.837530612945556641e+00
7.884867191314697266e-01
1.021258950233459473e+00
1.240635156631469727e+00
1.106677651405334473e+00
2.754591226577758789e+00
3.262474775314331055e+00
3.074386358261108398e+00
1.347193717956542969e+00
1.069458723068237305e+00
1.704656839370727539e+00
2.938260793685913086e+00
9.793674349784851074e-01
1.047390103340148926e+00
1.573805570602416992e+00
8.250797986984252930e-01
2.081312179565429688e+00
1.617291688919067383e+00
1.173894047737121582e+00
1.655885815620422363e+00
1.673778176307678223e+00
1.922645568847656250e+00
1.969958186149597168e+00
3.357155799865722656e+00
2.688918828964233398e+00
3.602286815643310547e+00
1.575233340263366699e+00
1.286433815956115723e+00
7.582881450653076172e-01
1.094349145889282227e+00
1.419004082679748535e+00
1.216387629508972168e+00
1.739439725875854492e+00
6.614295840263366699e-01
9.684102535247802734e-01
1.404664754867553711e+00
1.131600260734558105e+00
2.779759407043457031e+00
1.107357859611511230e+00
1.257300376892089844e+00
1.278634905815124512e+00
1.054906129837036133e+00
1.042294740676879883e+00
9.516558051109313965e-01
7.361764311790466309e-01
9.951429963111877441e-01
1.754923939704895020e+00
2.035068511962890625e+00
3.242388963699340820e+00
9.872668981552124023e-01
2.202486753463745117e+00
1.256421923637390137e+00
2.626546382904052734e+00
1.093743920326232910e+00
2.771629333496093750e+00
1.862133264541625977e+00
1.800595760345458984e+00
1.133729219436645508e+00
2.110388994216918945e+00
1.443988442420959473e+00
2.321809053421020508e+00
1.919035911560058594e+00
2.334406375885009766e+00
7.637931108474731445e-01
2.331308364868164062e+00
1.560064435005187988e+00
1.159187436103820801e+00
2.334251642227172852e+00
1.642204523086547852e+00
7.154536843299865723e-01
8.302469849586486816e-01
1.122572779655456543e+00
2.181040048599243164e+00
1.846917152404785156e+00
9.816789627075195312e-01
2.681214332580566406e+00
7.078384160995483398e-01
1.709948182106018066e+00
1.246543169021606445e+00
1.718674182891845703e+00
2.730681657791137695e+00
2.690046548843383789e+00
9.786046147346496582e-01
2.308882951736450195e+00
1.861334443092346191e+00
1.114487171173095703e+00
2.107370853424072266e+00
1.821669936180114746e+00
2.227072954177856445e+00
3.811494588851928711e+00
2.358420610427856445e+00
4.366078853607177734e+00
1.302965998649597168e+00
4.114456653594970703e+00
2.694162368774414062e+00
1.842358112335205078e+00
2.359211206436157227e+00
1.737389683723449707e+00
1.159763574600219727e+00
7.392601966857910156e-01
1.803295493125915527e+00
1.294774174690246582e+00
7.489201426506042480e-01
1.028869628906250000e+00
1.848114490509033203e+00
7.987184524536132812e-01
3.876770257949829102e+00
8.332397341728210449e-01
2.981686115264892578e+00
1.024277567863464355e+00
9.523323774337768555e-01
3.585107564926147461e+00
2.836671352386474609e+00
1.114673376083374023e+00
1.355263710021972656e+00
2.982530355453491211e+00
4.500210762023925781e+00
4.708570241928100586e-01
2.655337095260620117e+00
2.420811891555786133e+00
1.679471731185913086e+00
